filename,corner,x_position,y_position,frame_type
000-363-889.tif,left,235,2400,wild_rhone
000-363-889.tif,right,6666,2369,wild_rhone
000-363-889.tif,bottom,3463,4403,wild_rhone
000-346-031.tif,top,3566,291,wild_rhone
000-346-031.tif,left,339,2299,wild_rhone
000-346-031.tif,right,6770,2339,wild_rhone
000-346-031.tif,bottom,3542,4342,wild_rhone
000-350-887.tif,top,3512,294,wild_rhone
000-350-887.tif,left,290,2316,wild_rhone
000-350-887.tif,right,6723,2330,wild_rhone
000-350-887.tif,bottom,3504,4354,wild_rhone
000-174-663.tif,top,3408,318,wild_rhone
000-174-663.tif,left,195,2357,wild_rhone
000-174-663.tif,right,6628,2346,wild_rhone
000-174-663.tif,bottom,3413,4375,wild_rhone
000-358-834.tif,top,3505,277,wild_rhone
000-358-834.tif,left,285,2290,wild_rhone
000-358-834.tif,right,6715,2320,wild_rhone
000-358-834.tif,bottom,3489,4328,wild_rhone
000-361-113.tif,top,3430,375,wild_blocky
000-361-113.tif,left,215,2404,wild_blocky
000-361-113.tif,right,6650,2405,wild_blocky
000-361-113.tif,bottom,3432,4425,wild_blocky
000-344-266.tif,top,3455,376,wild_rhone
000-344-266.tif,left,236,2405,wild_rhone
000-344-266.tif,right,6668,2413,wild_rhone
000-344-266.tif,bottom,3451,4426,wild_rhone
000-370-728.tif,top,3440,319,wild_rhone
000-370-728.tif,left,230,2370,wild_rhone
000-370-728.tif,right,6666,2337,wild_rhone
000-370-728.tif,bottom,3460,4376,wild_rhone
000-352-675.tif,top,3472,316,wild_rhone
000-352-675.tif,left,244,2333,wild_rhone
000-352-675.tif,right,6681,2361,wild_rhone
000-352-675.tif,bottom,3453,4372,wild_rhone
000-361-492.tif,top,3495,307,wild_blocky
000-361-492.tif,left,274,2339,wild_blocky
000-361-492.tif,right,6716,2333,wild_blocky
000-361-492.tif,bottom,3500,4363,wild_blocky
000-172-559.tif,top,3385,407,wild_rhone
000-172-559.tif,left,166,2463,wild_rhone
000-172-559.tif,right,6610,2429,wild_rhone
000-172-559.tif,bottom,3406,4466,wild_rhone
000-174-432.tif,top,3512,338,wild_rhone
000-174-432.tif,left,287,2361,wild_rhone
000-174-432.tif,right,6722,2377,wild_rhone
000-174-432.tif,bottom,3502,4395,wild_rhone
000-368-611.tif,top,3465,329,wild_rhone
000-368-611.tif,left,265,2376,wild_rhone
000-368-611.tif,right,6693,2336,wild_rhone
000-368-611.tif,bottom,3492,4380,wild_rhone
000-174-027.tif,top,3429,382,wild_rhone
000-174-027.tif,left,228,2433,wild_rhone
000-174-027.tif,right,6662,2394,wild_rhone
000-174-027.tif,bottom,3455,4431,wild_rhone
000-349-776.tif,top,3582,326,wild_rhone
000-349-776.tif,left,363,2366,wild_rhone
000-349-776.tif,right,6810,2355,wild_rhone
000-349-776.tif,bottom,3588,4382,wild_rhone
000-368-955.tif,top,3439,307,wild_rhone
000-368-955.tif,left,234,2349,wild_rhone
000-368-955.tif,right,6664,2322,wild_rhone
000-368-955.tif,bottom,3458,4358,wild_rhone
000-352-455.tif,top,3517,278,wild_rhone
000-352-455.tif,left,293,2295,wild_rhone
000-352-455.tif,right,6726,2315,wild_rhone
000-352-455.tif,bottom,3504,4332,wild_rhone
000-373-201.tif,top,3482,321,wild_rhone
000-373-201.tif,left,266,2348,wild_rhone
000-373-201.tif,right,6700,2351,wild_rhone
000-373-201.tif,bottom,3483,4373,wild_rhone
000-387-730.tif,top,3503,298,wild_triangular
000-387-730.tif,left,282,2322,wild_triangular
000-387-730.tif,right,6719,2335,wild_triangular
000-387-730.tif,bottom,3495,4356,wild_triangular
000-377-539.tif,top,3495,311,wild_blocky
000-377-539.tif,left,274,2335,wild_blocky
000-377-539.tif,right,6707,2345,wild_blocky
000-377-539.tif,bottom,3487,4365,wild_blocky
000-352-642.tif,top,3536,288,wild_rhone
000-352-642.tif,left,302,2287,wild_rhone
000-352-642.tif,right,6739,2340,wild_rhone
000-352-642.tif,bottom,3505,4342,wild_rhone
000-360-564.tif,top,3472,340,wild_rhone
000-360-564.tif,left,252,2370,wild_rhone
000-360-564.tif,right,6683,2373,wild_rhone
000-360-564.tif,bottom,3471,4397,wild_rhone
000-361-501.tif,top,3480,294,wild_blocky
000-361-501.tif,left,266,2318,wild_blocky
000-361-501.tif,right,6697,2319,wild_blocky
000-361-501.tif,bottom,3484,4348,wild_blocky
000-354-306.tif,top,3574,350,wild_rhone
000-354-306.tif,left,352,2380,wild_rhone
000-354-306.tif,right,6788,2388,wild_rhone
000-354-306.tif,bottom,3568,4404,wild_rhone
000-388-344.tif,top,3504,274,wild_small_triangular
000-388-344.tif,left,277,2292,wild_small_triangular
000-388-344.tif,right,6733,2317,wild_small_triangular
000-388-344.tif,bottom,3486,4343,wild_small_triangular
000-366-051.tif,top,3479,309,wild_rhone
000-366-051.tif,left,274,2358,wild_rhone
000-366-051.tif,right,6702,2320,wild_rhone
000-366-051.tif,bottom,3499,4366,wild_rhone
000-359-991.tif,top,3451,385,wild_rhone
000-359-991.tif,left,237,2427,wild_rhone
000-359-991.tif,right,6672,2405,wild_rhone
000-359-991.tif,bottom,3463,4439,wild_rhone
000-345-843.tif,top,3513,278,wild_rhone
000-345-843.tif,left,299,2307,wild_rhone
000-345-843.tif,right,6672,2405,wild_rhone
000-345-843.tif,bottom,3510,4335,wild_rhone
000-377-315.tif,top,3491,302,wild_rhone
000-377-315.tif,left,273,2328,wild_rhone
000-377-315.tif,right,6707,2331,wild_rhone
000-377-315.tif,bottom,3489,4357,wild_rhone
000-365-529.tif,top,3477,348,wild_rhone
000-365-529.tif,left,265,2390,wild_rhone
000-365-529.tif,right,6699,2373,wild_rhone
000-365-529.tif,bottom,3485,4403,wild_rhone
000-174-992.tif,top,3469,295,wild_rhone
000-174-992.tif,left,264,2333,wild_rhone
000-174-992.tif,right,6687,2317,wild_rhone
000-174-992.tif,bottom,3479,4352,wild_rhone
000-375-636.tif,top,3448,361,wild_rhone
000-375-636.tif,left,226,2382,wild_rhone
000-375-636.tif,right,6659,2407,wild_rhone
000-375-636.tif,bottom,3433,4416,wild_rhone
000-174-914.tif,top,3491,286,wild_rhone
000-174-914.tif,left,277,2318,wild_rhone
000-174-914.tif,right,6706,2314,wild_rhone
000-174-914.tif,bottom,3493,4341,wild_rhone
000-350-330.tif,top,3413,346,wild_rhone
000-350-330.tif,left,202,2379,wild_rhone
000-350-330.tif,right,6639,2370,wild_rhone
000-350-330.tif,bottom,3421,4398,wild_rhone
000-356-765.tif,top,3519,292,wild_rhone
000-356-765.tif,left,299,2317,wild_rhone
000-356-765.tif,right,6733,2326,wild_rhone
000-356-765.tif,bottom,3512,4351,wild_rhone
000-381-103.tif,top,3507,329,wild_rhone
000-381-103.tif,left,286,2356,wild_rhone
000-381-103.tif,right,6721,2360,wild_rhone
000-381-103.tif,bottom,3507,4387,wild_rhone
000-355-283.tif,top,3421,337,wild_rhone
000-355-283.tif,left,208,2382,wild_rhone
000-355-283.tif,right,6645,2356,wild_rhone
000-355-283.tif,bottom,3435,4392,wild_rhone
000-174-041.tif,top,3510,349,wild_rhone
000-174-041.tif,left,281,2363,wild_rhone
000-174-041.tif,right,6717,2396,wild_rhone
000-174-041.tif,bottom,3491,4406,wild_rhone
000-362-692.tif,top,3440,337,wild_rhone
000-362-692.tif,left,223,2362,wild_rhone
000-362-692.tif,right,6655,2373,wild_rhone
000-362-692.tif,bottom,3435,4389,wild_rhone
000-365-164.tif,top,3572,340,wild_blocky
000-365-164.tif,left,353,2374,wild_blocky
000-365-164.tif,right,6794,2367,wild_blocky
000-365-164.tif,bottom,3578,4390,wild_blocky
000-359-352.tif,top,3530,274,wild_rhone
000-359-352.tif,left,304,2286,wild_rhone
000-359-352.tif,right,6739,2315,wild_rhone
000-359-352.tif,bottom,3513,4327,wild_rhone
000-362-070.tif,top,3441,379,wild_rhone
000-362-070.tif,left,230,2427,wild_rhone
000-362-070.tif,right,6666,2396,wild_rhone
000-362-070.tif,bottom,3461,4430,wild_rhone
000-357-963.tif,top,3504,297,wild_rhone
000-357-963.tif,left,289,2333,wild_rhone
000-357-963.tif,right,6721,2323,wild_rhone
000-357-963.tif,bottom,3508,4357,wild_rhone
000-350-632.tif,top,3467,377,wild_rhone
000-350-632.tif,left,248,2408,wild_rhone
000-350-632.tif,right,6684,2406,wild_rhone
000-350-632.tif,bottom,3467,4431,wild_rhone
000-371-482.tif,top,3457,381,wild_rhone
000-371-482.tif,left,237,2414,wild_rhone
000-371-482.tif,right,6671,2414,wild_rhone
000-371-482.tif,bottom,3454,4438,wild_rhone
000-349-998.tif,top,3522,309,wild_rhone
000-349-998.tif,left,298,2324,wild_rhone
000-349-998.tif,right,6733,2347,wild_rhone
000-349-998.tif,bottom,3510,4362,wild_rhone
000-383-814.tif,top,3505,247,wild_blocky
000-383-814.tif,left,291,2278,wild_blocky
000-383-814.tif,right,6718,2275,wild_blocky
000-383-814.tif,bottom,3507,4302,wild_blocky
000-356-196.tif,top,3418,358,wild_rhone
000-356-196.tif,left,220,2411,wild_rhone
000-356-196.tif,right,6649,2364,wild_rhone
000-356-196.tif,bottom,3449,4410,wild_rhone
000-173-325.tif,top,3668,283,wild_rhone
000-173-325.tif,left,444,2306,wild_rhone
